51
LOC102725121	LOC102725121	MissingGeneType
DDX11L1	DDX11L1	MissingGeneType
MIR6859-1	MIR6859-1	MissingGeneType
MIR6859-2	MIR6859-2	MissingGeneType
MIR6859-3	MIR6859-3	MissingGeneType
MIR6859-4	MIR6859-4	MissingGeneType
MIR1302-2	MIR1302-2	MissingGeneType
MIR1302-9	MIR1302-9	MissingGeneType
MIR1302-10	MIR1302-10	MissingGeneType
MIR1302-11	MIR1302-11	MissingGeneType
FAM138A	FAM138A	MissingGeneType
FAM138F	FAM138F	MissingGeneType
FAM138C	FAM138C	MissingGeneType
LOC729737	LOC729737	MissingGeneType
LOC100132287	LOC100132287	MissingGeneType
LOC100132062	LOC100132062	MissingGeneType
LOC101928626	LOC101928626	MissingGeneType
LOC100133331	LOC100133331	MissingGeneType
LOC100288069	LOC100288069	MissingGeneType
FAM87B	FAM87B	MissingGeneType
LINC00115	LINC00115	MissingGeneType
LINC01128	LINC01128	MissingGeneType
FAM41C	FAM41C	MissingGeneType
LINC02593	LINC02593	MissingGeneType
PLEKHN1	PLEKHN1	MissingGeneType
LOC100288175	LOC100288175	MissingGeneType
LINC01342	LINC01342	MissingGeneType
SCNN1D	SCNN1D	MissingGeneType
MIR6726	MIR6726	MissingGeneType
SNORD167	SNORD167	MissingGeneType
PUSL1	PUSL1	MissingGeneType
C1orf159	C1orf159	MissingGeneType
SHOX	SHOX	MissingGeneType
KANK1	KANK1	MissingGeneType
SNTG2	SNTG2	MissingGeneType
PGGHG	PGGHG	MissingGeneType
PLCXD1	PLCXD1	MissingGeneType
RNH1	RNH1	MissingGeneType
ZMYND11	ZMYND11	MissingGeneType
SH3YL1	SH3YL1	MissingGeneType
SLC49A3	SLC49A3	MissingGeneType
PIGG	PIGG	MissingGeneType
RFLNB	RFLNB	MissingGeneType
B3GALT6	B3GALT6	MissingGeneType
IQSEC3	IQSEC3	MissingGeneType
NOC2L	NOC2L	MissingGeneType
RASSF7	RASSF7	MissingGeneType
PHRF1	PHRF1	MissingGeneType
SIGIRR	SIGIRR	MissingGeneType
SCGB1C2	SCGB1C2	MissingGeneType
ACP1	ACP1	MissingGeneType
